sample,number,rep,cell_line,time,trt
Repeat 73.1 A549 Heavy - 3h 1,1,1,A549,3,untrt
Repeat 73.1 A549 Heavy - 6h 2,2,1,A549,6,untrt
Repeat 73.1 A549 Heavy - 24h 3,3,1,A549,24,untrt
Repeat 73.1 A549 Heavy GC7 3h 4,4,1,A549,3,GC7
Repeat 73.1 A549 Heavy GC7 6h 5,5,1,A549,6,GC7
Repeat 73.1 A549 Heavy GC7 24h 6,6,1,A549,24,GC7
Repeat 73.2 A549 Heavy - 3h 7,7,2,A549,3,untrt
Repeat 73.2 A549 Heavy - 6h 8,8,2,A549,6,untrt
Repeat 73.2 A549 Heavy - 24h 9,9,2,A549,24,untrt
Repeat 73.2 A549 Heavy GC7 3h 10,10,2,A549,3,GC7
Repeat 73.2 A549 Heavy GC7 6h 11,11,2,A549,6,GC7
Repeat 73.2 A549 Heavy GC7 24h 12,12,2,A549,24,GC7
Repeat 73.3 A549 Heavy - 3h 13,13,3,A549,3,untrt
Repeat 73.3 A549 Heavy - 6h 14,14,3,A549,6,untrt
Repeat 73.3 A549 Heavy - 24h 15,15,3,A549,24,untrt
Repeat 73.3 A549 Heavy GC7 3h 16,16,3,A549,3,GC7
Repeat 73.3 A549 Heavy GC7 6h 17,17,3,A549,6,GC7
Repeat 73.3 A549 Heavy GC7 24h 18,18,3,A549,24,GC7
