entry	time	Updated.Master.Protein.Accessions	Master.Protein.Descriptions	logFC	AveExpr	t	P.Value	adj.P.Val	B	count	sca.t	sca.P.Value	sca.adj.pval	sig_conf	sig	MitoCarta3.0_SubMitoLocalization	MitoCarta3.0_MitoPathways	HPA_Main_Location_2020 (Reliability)	TargetP_Score	MitoCarta3.0_Evidence	mit_loc
A0AV96	6	A0AV96	RNA-binding protein 47 OS=Homo sapiens OX=9606 GN=RBM47 PE=1 SV=2	-0.387904562708544	-1.69867915312601	-2.05266558476836	0.106606751917706	0.169667500454158	-4.53454599884962	2	-1.38946220920714	0.233823799994053	0.306511803843648	FALSE	FALSE	NA	NA	NA	NA	NA	Not Mt.
A0AVT1	24	A0AVT1	Ubiquitin-like modifier-activating enzyme 6 OS=Homo sapiens OX=9606 GN=UBA6 PE=1 SV=1	-1.06580753326999	-0.2225530714145	-4.5002165960751	7.00595460990699e-06	1.30281964149983e-05	3.11973833486418	4	-5.85136049444698	5.65301442329645e-09	1.55890717318867e-08	TRUE	TRUE	NA	NA	NA	NA	NA	Not Mt.
A0AVT1	3	A0AVT1	Ubiquitin-like modifier-activating enzyme 6 OS=Homo sapiens OX=9606 GN=UBA6 PE=1 SV=1	-1.32985028531945	-3.1822030911787	-3.07933851722821	0.0340479908279984	0.558324680001212	-4.42117013432537	2	-2.60336048089486	0.0556791345626891	0.547262643021713	FALSE	FALSE	NA	NA	NA	NA	NA	Not Mt.
A0AVT1	6	A0AVT1	Ubiquitin-like modifier-activating enzyme 6 OS=Homo sapiens OX=9606 GN=UBA6 PE=1 SV=1	-0.66683519455938	-2.85357953803026	-4.73794148309866	0.00474665645932312	0.0821523593385708	-1.59124575269857	2	-4.29787825475373	0.00707576994336481	0.0563110361852074	FALSE	FALSE	NA	NA	NA	NA	NA	Not Mt.
A0FGR8	24	A0FGR8	Extended synaptotagmin-2 OS=Homo sapiens OX=9606 GN=ESYT2 PE=1 SV=1	-0.720630682758674	0.0843954788817486	-3.0427577747004	0.00236135135189025	0.00281187233350089	-2.32307214923241	2	-3.17945845120272	0.00149728245616283	0.00184905901414026	FALSE	TRUE	NA	NA	NA	NA	NA	Not Mt.
A0FGR8	6	A0FGR8	Extended synaptotagmin-2 OS=Homo sapiens OX=9606 GN=ESYT2 PE=1 SV=1	-0.525949472617748	-2.66773440865102	-2.95605895786701	0.0396856854692919	0.1001041086881	-3.51743614292967	2	-1.93449072880022	0.121776841936281	0.189624951562714	FALSE	FALSE	NA	NA	NA	NA	NA	Not Mt.
A0MZ66	24	A0MZ66	Shootin-1 OS=Homo sapiens OX=9606 GN=SHTN1 PE=1 SV=4	-1.12875126561776	0.0988764574498127	-4.76598730991242	1.9546084908903e-06	4.24540964221374e-06	4.33898973519777	4	-6.1967280957322	6.93459527629243e-10	2.33901413960938e-09	TRUE	TRUE	NA	NA	NA	NA	NA	Not Mt.
A0MZ66	3	A0MZ66	Shootin-1 OS=Homo sapiens OX=9606 GN=SHTN1 PE=1 SV=4	-0.0895856771040212	-3.07954104475412	-0.381869132973909	0.717518694539475	0.854139259924172	-4.67905539280295	2	-0.362028799339708	0.731320526551128	0.870430409319006	FALSE	FALSE	NA	NA	NA	NA	NA	Not Mt.
A0MZ66	6	A0MZ66	Shootin-1 OS=Homo sapiens OX=9606 GN=SHTN1 PE=1 SV=4	-0.025057150624511	-2.31659125866043	-0.107100930620328	0.919672338751437	0.935650294560097	-6.23802700312505	4	-0.106724335438603	0.919912716453608	0.936620532884923	FALSE	FALSE	NA	NA	NA	NA	NA	Not Mt.
A1X283	6	A1X283	SH3 and PX domain-containing protein 2B OS=Homo sapiens OX=9606 GN=SH3PXD2B PE=1 SV=3	-0.313010350871948	-2.75232978316997	-1.76314772736516	0.149830189971414	0.213232243197345	-4.87519014609842	2	-1.15236161828418	0.310512879939598	0.384060706790963	FALSE	FALSE	NA	NA	NA	NA	NA	Not Mt.
